prez_yr,prez,year,xy_ratio
adams_j_1797,adams_j,1797,0.7407407407407407
adams_j_1798,adams_j,1798,0.2978723404255319
adams_j_1799,adams_j,1799,0.8636363636363636
adams_j_1800,adams_j,1800,0.3125
adams_jq_1825,adams_jq,1825,0.15789473684210525
adams_jq_1826,adams_jq,1826,0.09401709401709402
adams_jq_1827,adams_jq,1827,0.2564102564102564
adams_jq_1828,adams_jq,1828,0.1702127659574468
arthur_1881,arthur,1881,0.9696969696969697
arthur_1882,arthur,1882,2.0384615384615383
arthur_1883,arthur,1883,1.180327868852459
arthur_1884,arthur,1884,0.8433734939759037
buchanan_1857,buchanan,1857,0.5121951219512195
buchanan_1858,buchanan,1858,0.7378048780487805
buchanan_1859,buchanan,1859,0.8981481481481481
buchanan_1860,buchanan,1860,0.8267716535433071
bush_ghw_1989,bush_ghw,1989,0.5714285714285714
bush_ghw_1990,bush_ghw,1990,0.304635761589404
bush_ghw_1991,bush_ghw,1991,0.15476190476190477
bush_ghw_1992,bush_ghw,1992,0.8717948717948718
bush_gw_2001,bush_gw,2001,0.3902439024390244
bush_gw_2002,bush_gw,2002,0.29375
bush_gw_2003,bush_gw,2003,0.2235294117647059
bush_gw_2004,bush_gw,2004,0.2571428571428571
bush_gw_2005,bush_gw,2005,0.27011494252873564
bush_gw_2006,bush_gw,2006,0.16733067729083664
bush_gw_2007,bush_gw,2007,0.1890547263681592
bush_gw_2008,bush_gw,2008,0.16129032258064516
carter_1978,carter,1978,0.2372093023255814
carter_1979,carter,1979,0.13690476190476192
carter_1980,carter,1980,0.11688311688311688
carter_1981,carter,1981,0.4014510278113664
cleveland_1885,cleveland,1885,0.4835164835164835
cleveland_1886,cleveland,1886,0.6153846153846154
cleveland_1887,cleveland,1887,0.14102564102564102
cleveland_1888,cleveland,1888,0.5153846153846153
cleveland_1893,cleveland,1893,0.5504587155963303
cleveland_1894,cleveland,1894,0.6747967479674797
cleveland_1895,cleveland,1895,0.23137254901960785
cleveland_1896,cleveland,1896,0.28901734104046245
clinton_1993,clinton,1993,0.4855072463768116
clinton_1994,clinton,1994,0.3767123287671233
clinton_1995,clinton,1995,0.35356200527704484
clinton_1996,clinton,1996,0.36330935251798563
clinton_1997,clinton,1997,0.23323615160349853
clinton_1998,clinton,1998,0.37142857142857144
clinton_1999,clinton,1999,0.31142857142857144
clinton_2000,clinton,2000,0.4509283819628647
coolidge_1923,coolidge,1923,0.2833333333333333
coolidge_1924,coolidge,1924,0.46153846153846156
coolidge_1925,coolidge,1925,0.18421052631578946
coolidge_1926,coolidge,1926,0.22058823529411764
coolidge_1927,coolidge,1927,0.04225352112676056
coolidge_1928,coolidge,1928,0.2926829268292683
eisenhower_1953,eisenhower,1953,0.23157894736842105
eisenhower_1954,eisenhower,1954,0.3160919540229885
eisenhower_1955,eisenhower,1955,0.3135593220338983
eisenhower_1956,eisenhower,1956,0.2727272727272727
eisenhower_1957,eisenhower,1957,0.22137404580152673
eisenhower_1958,eisenhower,1958,0.24277456647398843
eisenhower_1959,eisenhower,1959,0.18518518518518517
eisenhower_1960,eisenhower,1960,0.30687830687830686
eisenhower_1961,eisenhower,1961,0.2358490566037736
fillmore_1850,fillmore,1850,1.2191780821917808
fillmore_1851,fillmore,1851,0.8349514563106796
fillmore_1852,fillmore,1852,0.6410256410256411
ford_1975,ford,1975,0.5806451612903226
ford_1976,ford,1976,0.5132275132275133
ford_1977,ford,1977,0.6918238993710691
grant_1869,grant,1869,1.0535714285714286
grant_1870,grant,1870,0.5625
grant_1871,grant,1871,2.066666666666667
grant_1872,grant,1872,1.5681818181818181
grant_1873,grant,1873,1.7647058823529411
grant_1874,grant,1874,1.9807692307692308
grant_1875,grant,1875,0.9696969696969697
grant_1876,grant,1876,3.0476190476190474
harding_1921,harding,1921,0.2605633802816901
harding_1922,harding,1922,0.17567567567567569
harrison_1889,harrison,1889,0.631578947368421
harrison_1890,harrison,1890,0.5963302752293578
harrison_1891,harrison,1891,0.8524590163934426
harrison_1892,harrison,1892,0.5674157303370787
hayes_1877,hayes,1877,1.5277777777777777
hayes_1878,hayes,1878,0.6511627906976745
hayes_1879,hayes,1879,1.3953488372093024
hayes_1880,hayes,1880,0.6666666666666666
hoover_1929,hoover,1929,0.4722222222222222
hoover_1930,hoover,1930,0.64
hoover_1931,hoover,1931,0.3684210526315789
hoover_1932,hoover,1932,0.4307692307692308
jackson_1829,jackson,1829,0.4962962962962963
jackson_1830,jackson,1830,0.9298245614035088
jackson_1831,jackson,1831,0.4645161290322581
jackson_1832,jackson,1832,0.4407894736842105
jackson_1833,jackson,1833,1.0923076923076922
jackson_1834,jackson,1834,0.8601398601398601
